Fold,MSE,R2 Score
Fold 1,50.05142753218594,0.21380241871975458
Fold 2,91.51798049971418,0.40603403363486235
Fold 3,92.91968479043467,0.16747331199846294
Fold 4,92.33125481654803,-0.011497177523810631
Fold 5,52.73750907087665,0.4056386098652326
Fold 6,16.93085404356066,0.19830417178754978
Fold 7,74.43048039834981,-0.10784820667957251
Fold 8,44.54483769356846,-0.05857241611618558
Fold 9,43.28134242752884,0.15571906843873273
Fold 10,140.32871431575947,0.15408315883962087
Average,69.90740855885267,0.1523136972964647
