Fold,MSE,R2 Score
Fold 1,86.92584966964503,-0.3654134583285966
Fold 2,88.94884895283036,0.42270809804965537
Fold 3,121.31897854164042,-0.08697406394343155
Fold 4,136.3647832397502,-0.49388843068049226
Fold 5,77.11865803740125,0.13085859374139697
Fold 6,8.652174016509685,0.5903093963152963
Fold 7,85.25368005454935,-0.26894433645709115
Fold 8,60.464596842529836,-0.43689275083674417
Fold 9,21.98189902129244,0.5712032681459018
Fold 10,149.3407720571504,0.09975748890012082
Average,83.63702404332989,0.016272380490601555
