Fold,MSE,R2 Score
Fold 1,44.995714375411126,
Fold 2,58.319518281649884,
Fold 3,0.1015215876260447,
Fold 4,33.90436564661021,
Fold 5,82.74091534973192,
Fold 6,28.604634236144893,
Fold 7,0.3337714284177237,
Fold 8,0.14670896599643096,
Fold 9,2.330841562781477,
Fold 10,12.939459414887708,
Fold 11,14.062607427985707,
Fold 12,18.22559114862052,
Fold 13,78.32263893857142,
Fold 14,303.16951173878516,
Fold 15,4.027624697583239,
Fold 16,1.476711981286967,
Fold 17,176.21886542509705,
Fold 18,324.5081049697272,
Fold 19,0.018995562759324992,
Fold 20,2.8329329397024297,
Fold 21,0.03031747492093822,
Fold 22,0.12833409106174706,
Fold 23,0.4927164033970653,
Fold 24,33.406805210808926,
Fold 25,497.60172093319426,
Fold 26,360.721813777518,
Fold 27,224.12476108104048,
Fold 28,1.5001045293458342,
Fold 29,25.628904553837152,
Fold 30,118.6554042239669,
Fold 31,652.3354289746455,
Fold 32,1.6184552720798984,
Fold 33,1.6140432409181347,
Fold 34,18.38546164088519,
Fold 35,41.74675775155313,
Fold 36,14.431024393050166,
Fold 37,0.9107888967610778,
Fold 38,12.781141997182072,
Fold 39,106.6028269626352,
Fold 40,31.84014318866614,
Fold 41,1.369554157090452,
Fold 42,222.3774022414746,
Fold 43,187.6378802486805,
Fold 44,0.008766796057251565,
Fold 45,123.52410776029635,
Fold 46,74.18955761210746,
Fold 47,8.670363374562852,
Fold 48,16.58433236993319,
Fold 49,5.972856660703693,
Fold 50,6.334929076462307,
Fold 51,306.1921169850878,
Fold 52,0.7436278309378371,
Fold 53,0.17211855422813746,
Fold 54,5.695920830800732,
Fold 55,3.181519849701117,
Fold 56,1.2791740534131877,
Fold 57,234.01477935954412,
Fold 58,8.40802263358767,
Fold 59,18.73640871189466,
Fold 60,15.216937708323304,
Fold 61,21.254587128517503,
Fold 62,14.329391197476085,
Fold 63,0.4181128339188558,
Fold 64,27.464563125452734,
Fold 65,8.035473230995535,
Fold 66,0.3192234273074702,
Fold 67,91.3324091753288,
Fold 68,2.7284588158433287,
Fold 69,69.99786077160579,
Fold 70,6.163509252381802,
Fold 71,0.2992096547499237,
Fold 72,0.5430909680860109,
Fold 73,150.53395017652895,
Fold 74,14.24371924040498,
Fold 75,243.77293850927643,
Fold 76,8.123568390758928,
Fold 77,0.9362826071218714,
Fold 78,1.190959691484025,
Fold 79,28.55528408783268,
Fold 80,4.722598267715619,
Fold 81,33.629331157829746,
Fold 82,646.2427281327183,
Fold 83,275.378552741793,
Fold 84,2.171760210662001,
Fold 85,4.026993369800603,
Fold 86,456.5498565280155,
Fold 87,4.068930140246862,
Fold 88,332.14773424378683,
Fold 89,34.526371395698625,
Fold 90,1.868043209013923,
Fold 91,51.42560264728837,
Fold 92,102.17623813447806,
Fold 93,637.4439819528474,
Fold 94,813.7037913185764,
Fold 95,617.8158269452848,
Fold 96,6.442957347411212,
Fold 97,12.835649461410835,
Fold 98,12.165555908527832,
Fold 99,0.6077684875162885,
Fold 100,291.36638167456283,
Fold 101,140.9638283651461,
Fold 102,1.0863610231086738,
Fold 103,0.08680848024246914,
Fold 104,0.04319849353177826,
Fold 105,0.6383836836966563,
Fold 106,0.49664168030716627,
Fold 107,2.7434092663391985,
Fold 108,62.18542345731284,
Fold 109,31.14411781836398,
Fold 110,25.575347691966154,
Fold 111,81.9094270005119,
Fold 112,10.306848716695711,
Fold 113,33.17113724302257,
Fold 114,1.7944824882378987,
Fold 115,2.257711143340389,
Fold 116,3.171571748955655,
Fold 117,77.72990478633032,
Fold 118,1.1626144027774457,
Fold 119,18.22850652478508,
Fold 120,1.1546066651958877,
Fold 121,43.66106946172197,
Fold 122,11.14255971327686,
Fold 123,31.211071294114255,
Fold 124,19.650952665435433,
Fold 125,3.116386824599847,
Fold 126,12.48150701025307,
Fold 127,15.315297620122152,
Fold 128,1.0023965048817447,
Fold 129,45.99565978680343,
Fold 130,9.772787984537501,
Fold 131,146.0678977108543,
Fold 132,65.44132528305236,
Fold 133,23.023987882619565,
Fold 134,10.264557883610477,
Fold 135,0.5355994479320408,
Fold 136,1.732557999431122,
Fold 137,932.0287243205798,
Fold 138,3.7010319918099404,
Fold 139,22.183866088501404,
Fold 140,148.6484109282287,
Fold 141,116.20307549323371,
Fold 142,80.9177881675837,
Fold 143,32.846509436705134,
Fold 144,246.30440950068305,
Fold 145,40.08451158541016,
Fold 146,70.20826258971643,
Fold 147,160.8033621619497,
Fold 148,158.47367002647056,
Average,84.81335932902685,
