Fold,MSE,R2 Score
Fold 1,84.26492352835827,-0.3236161750263422
Fold 2,198.62887112225255,-0.2891323512598005
Fold 3,253.0760347773683,-1.2674695197357506
Fold 4,96.3282130280382,-0.0552842132100011
Fold 5,52.23223472216213,0.4113331443548648
Fold 6,15.138998296727205,0.28315064635397846
Fold 7,91.27632132109434,-0.35858734683277294
Fold 8,115.29578120110304,-1.7399119627205772
Fold 9,148.93840152601413,-1.9053131287732286
Fold 10,167.6553997615948,-0.010645090431656623
Average,122.2835179284713,-0.5255475997281287
